sonic believes in net neutrality and an open internet and has always stood for practiced and advocated for the principles of an open and equal internet for all.,NET_NEUTRAL,POSITIVE
the federal government’s repeal of title ii classification and the 2010 fcc open internet order has dismantled bans on blocking throttling and prioritizing content; paving the way for service providers to impose performance limits prioritize content of their choosing and monetize traffic throughout all at the expense of citizen’s fair and open access to the rich spectrum of content and information available on the internet.,FCC_REPEAL,NEGATIVE
the federal government’s repeal of title ii classification and the 2010 fcc open internet order has dismantled bans on blocking throttling and prioritizing content; paving the way for service providers to impose performance limits prioritize content of their choosing and monetize traffic throughout all at the expense of citizen’s fair and open access to the rich spectrum of content and information available on the internet.,PRIORITIZATION,NEGATIVE
while these practices are not banned sonic is proud to continue supporting the principles of net neutrality and provide our customers with an open internet experience unburdened by cost-cutting performance impacting network management practices monetization of access or priority for content providers censorship of legal content or sharing of any customer information.,NET_NEUTRAL,POSITIVE
in accordance with the 2018 fcc restoring internet freedom order and subsequent repeal of net neutrality principles sonic is happy to disclose continued adherence principles of an open and equal internet as compliant with the rif “transparency rule”.,NET_NEUTRAL,POSITIVE
in accordance with the 2018 fcc restoring internet freedom order and subsequent repeal of net neutrality principles sonic is happy to disclose continued adherence principles of an open and equal internet as compliant with the rif “transparency rule”.,FCC_REPEAL,NEUTRAL
blocking: sonic does not engage in any practice that blocks or otherwise prevents end user access to lawful content applications service or non-harmful devices including a description of what is blocked.,INTERFERENCE,NEGATIVE
paid prioritization: sonic does not engage in any practice that directly or indirectly favors some traffic over other traffic including through use of techniques such as traffic shaping prioritization or resource reservation in exchange for consideration monetary or otherwise.,PRIORITIZATION,NEGATIVE
application-specific behavior: sonic does not engage in any practice to block or rate-control specific protocols or protocol ports modify protocol fields in ways not prescribed by the protocol standard or otherwise inhibit or favor certain applications or classes of applications.,INTERFERENCE,NEGATIVE
we may block traffic to or from customers when a denial of service attack is in progress and when such traffic is impacting network elements shared by other customers.,INTERFERENCE,POSITIVE
our dedication to a better internet experience is built into these open internet commitments and our privacy notices.,NET_NEUTRAL,POSITIVE
these are our clear open internet commitments to our customers:,NET_NEUTRAL,POSITIVE
if you have any questions or concerns about our open internet commitments or network management practices please email us at neutralnet@starry.com.,MISC,NEUTRAL
as it now seems was inevitable yesterday the fcc overturned “net neutrality” regulations that were put in place to protect an open internet.,FCC_REPEAL,NEUTRAL
now internet service providers – isps – will be allowed to prioritize and deprioritize traffic as they see fit.,PRIORITIZATION,NEUTRAL
ting’s stance on net neutrality is and will remain unchanged: we will never block throttle or otherwise interfere with the online activity of our customers.,NET_NEUTRAL,POSITIVE
ting’s stance on net neutrality is and will remain unchanged: we will never block throttle or otherwise interfere with the online activity of our customers.,INTERFERENCE,NEGATIVE
as a company actively working and investing to build and support fiber networks in ting towns around the us we can definitively say that net neutrality had no bearing on our decision to help build the next generation of internet infrastructure north america so sorely needs.,NET_NEUTRAL,NEUTRAL
the repeal of net neutrality protections won’t change how we continue this important work and will not change our continued operation of ting internet under the principles of net neutrality.,NET_NEUTRAL,POSITIVE
mozilla took the next step today in the fight to defend the web and consumers from the fcc’s attack on an open internet.,FCC_REPEAL,NEGATIVE
together with other petitioners mozilla filed our reply brief in our case challenging the fcc’s elimination of critical net neutrality protections that require internet providers to treat all online traffic equally.,FCC_REPEAL,NEGATIVE
the fight for net neutrality while not a new one is an important one.,NET_NEUTRAL,POSITIVE
the fcc’s removal of net neutrality rules is not only bad for consumers it is also unlawful.,FCC_REPEAL,NEGATIVE
and yet the fcc’s dismantling of the net neutrality rules unlawfully removes long standing rules that have ensured the internet provides a voice for everyone.,FCC_REPEAL,NEGATIVE
they repeatedly contradict themselves and have even introduced new justifications not outlined in the fcc’s original decision to repeal net neutrality protections.,FCC_REPEAL,NEGATIVE
our belief in this action remains as strong as it was when its plan to undo net neutrality protections last year was first met with outcry from consumers small businesses and advocates across the country.,FCC_REPEAL,NEGATIVE
considering existing data plans for cingular are now under $20/month this indicates that cingular is against to so-called “net neutrality”.,NET_NEUTRAL,NEGATIVE
net neutrality is the position that data that flows over the internet should not be billed differently regardless of the application or protocol.,NET_NEUTRAL,NEUTRAL
previously cingular has been the most net neutral of any wireless provider quietly approving of phone-as-modem applications on their consumer data plans.,NET_NEUTRAL,POSITIVE
